2026-04-29 11:44:04 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 11:44:04 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 11:44:04 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 11:44:04 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 11:44:04 | INFO     | stitch | Background simulation thread started.
2026-04-29 11:44:04 | INFO     | stitch | Background simulation thread started.
2026-04-29 11:44:04 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 11:44:04 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 11:44:25 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 11:44:25 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 11:44:25 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 11:44:25 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 11:44:25 | INFO     | stitch | Background simulation thread started.
2026-04-29 11:44:25 | INFO     | stitch | Background simulation thread started.
2026-04-29 11:44:25 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 11:44:25 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 11:49:41 | INFO     | stitch | Optimization job a4d21c83 queued.
2026-04-29 11:49:41 | INFO     | stitch | Starting route optimization…
2026-04-29 11:49:41 | INFO     | stitch | Routing 50 bins across 4 trucks.
2026-04-29 11:49:42 | INFO     | stitch | Distance matrix fetched from OSRM successfully.
2026-04-29 11:49:44 | INFO     | stitch | Truck 1: 4 stops, 18.6 km, 518 geometry points.
2026-04-29 11:49:45 | INFO     | stitch | Truck 2: 10 stops, 16.7 km, 502 geometry points.
2026-04-29 11:49:46 | INFO     | stitch | Truck 3: 10 stops, 16.3 km, 469 geometry points.
2026-04-29 11:49:47 | INFO     | stitch | Truck 4: 9 stops, 17.7 km, 437 geometry points.
2026-04-29 11:49:47 | INFO     | stitch | Optimization complete in 5.75s — 4 routes, 69.33 km total.
2026-04-29 11:49:47 | INFO     | stitch | Optimization job a4d21c83 complete.
2026-04-29 12:30:00 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:30:00 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:30:00 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:30:00 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:30:00 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:30:00 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:30:00 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:30:00 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:30:26 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:30:26 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:30:26 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:30:26 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:30:35 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:30:35 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:30:35 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:30:35 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:30:36 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:30:36 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:30:36 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:30:36 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:32:31 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:32:31 | INFO     | stitch | Loaded 80 bins from data store.
2026-04-29 12:32:31 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:32:31 | INFO     | stitch | Settings: {'threshold_yellow': 50, 'threshold_red': 80, 'num_trucks': 4, 'truck_capacity': 800, 'dangerous_gas': 175, 'sensor_interval': 4, 'retrain_cycles': 10}
2026-04-29 12:32:31 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:32:31 | INFO     | stitch | Background simulation thread started.
2026-04-29 12:32:31 | INFO     | stitch | GPS simulation tick thread started.
2026-04-29 12:32:31 | INFO     | stitch | GPS simulation tick thread started.
